,property_name,property_price,property_desc
0,Home in Arpora,"₹2,852 total",Portuguese Villa - Casa Avemina
1,Apartment in Arpora,"₹5,589 total","Casa Cenica - 2bhk furnished apt, Arpora pool view"
2,Flat in Candolim,"₹2,852 total",Highland North Block candolim
3,Flat in Nerul,"₹11,298 total",Sleek 3 Bedroom Apartment In Nerul With Pool
4,Flat in Candolim,"₹4,800 total","Stunning Unrestricted Stay: Pool, WiFi & Kitchen"
5,Apartment in Parra,"₹6,063 total",Lovely Spacious House with a huge Pool & Balcony
6,Resort in Arambol,"₹2,739 total",Luxury Stay 3 Rooms C-3 @ Dacha Arambol
7,Flat in Arpora,"₹3,080 total",2 Bhk Apartment in Arpora - 1.5 kms to Baga Beach
8,Flat in Reis Magos,"₹3,499 total",Alamos - 3BHK Casinos & Beaches at 10 mins drive
9,Flat in Candolim,"₹3,080 total",Goan Alcove - 2BHK AC Luxury Apartment
10,Villa in Arambol,"₹4,000 total",Kiki Villa 100mtr from the beach
11,Flat in Siolim,"₹4,736 total",2 BHK Apartment with swimming pool view
12,Apartment in Baga,"₹4,336 total","Ye-lo home -2 Bedroom Apt in Baga, North Goa"
13,Villa in Siridao,"₹15,976 total",The Beach Villa Goa
14,Townhouse in Mapusa,"₹8,479 total",A cheerful 3bhk villa in Siolim with all services
15,Home in Vagator,"₹5,135 total",Artistic 3BHK with Private Terrace in Vagator
16,Apartment in Candolim,"₹14,265 total",A Luxury 3BHK Duplex Apartment with a Private Pool
17,Home in Anjuna,"₹3,424 total",Casa de Gregorio - A Portuguese heritage House
18,Home in Aradi Socorro,"₹4,448 total",Casa Renosa - 3bhk Row Villa in Sangolda (3 floor)
19,Villa in Issorcim,"₹3,386 total","CASA RIO's We are small, tranquil & cozy!"
20,Home in North Goa,"₹5,532 total",Blues - Cute 2 BHK with Jacuzzi
21,Flat in Candolim,"₹4,500 total","Enjoy Unrestricted: Pool View, Kitchen, and WiFi"
22,Flat in Candolim,"₹3,696 total",Emerald highland beach resort
23,Home in Candolim,"₹11,982 total",Hi5 Stays Luxe 3BHK with Private Pool in NorthGoa
24,Apartment in Candolim,"₹3,526 total","Casa Melora, 2bhk Ac apt in Candolim, Beachwalk"
25,Flat in Candolim,"₹3,412 total",2BHK✓2Bath✓WiFi✓WM✓BackUp✓Candolim✓3rd-Top Floor
26,Home in Duncolim,"₹3,422 total",Poolside Serenity Retreat 3BHK Villa @Benaulim
27,Flat in Arambol,"₹2,490 total",charming 3 bedrooms with kitchen @Klase Homep
28,Home in Calangute,"₹2,929 total",Teomena Villa calangute 2Bhk villa
29,Apartment in Calangute,"₹2,706 total",Rustic Kaularu-Portuguese 2 BHK (Calangute Circle)
30,Hotel in Arambol,"₹2,739 total",Luxury Stay 3 Rooms C-2 @ Dacha
31,Flat in Hollant,"₹3,994 total",Beach View Apartment
32,Flat in Siolim,"₹5,352 total",The Bella Casa-2bhk luxury apartment
33,Hotel in Morjim,"₹3,766 total",Cozy 3 Bedroom Cottage with pool 2 mins to beach
34,Flat in Candolim,"₹5,934 total",3 bhk with the best views
35,Flat in Chicalim,"₹3,538 total","2Bhk Sky water Sea Facing Apt, Dabolim- Goa"
36,Villa in Vasco da Gama,"₹17,850 total",Riverside Oasis Lux Apartment Pvt Pool
37,Villa in Calangute,"₹12,199 total",West Valley Villa North Goa
38,Villa in Anjuna,"₹22,459 total",Luxury 4BHK private pool villa in Anjuna beach@2km
